Node,Parameter,Time,Value,Scenario
BESS,candidate_storages,,10,Inv-storage-compress
BESS,fix_node_state,2018-12-31T23:00:00,0,Base
BESS,frac_state_loss,,4.00E-05,Base
BESS,has_state,,TRUE,Base
BESS,node_state_cap,,1.6,Base
BESS,node_state_cap,,1,Inv-storage-compress
BESS,storage_investment_cost,,13302,Inv-storage-compress
BESS,storage_investment_variable_type,,variable_type_continuous,Inv-storage-compress
El_BESS,nodal_balance_sense,,==,Base
El_curtailed,is_active,,TRUE,Grid-connected
El_curtailed,nodal_balance_sense,,>=,Base
El_renew,nodal_balance_sense,,==,Base
Group_El,nodal_balance_sense,,==,Base
Group_H2_mFRR,nodal_balance_sense,,==,Base
H2,nodal_balance_sense,,==,Base
H2O_in,nodal_balance_sense,,<=,Base
H2O_out,nodal_balance_sense,,>=,Base
H2_decompressed,nodal_balance_sense,,==,Base
H2_out,nodal_balance_sense,,>=,Base
H2_storage,candidate_storages,,10,Inv-storage-compress
H2_storage,fix_node_state,2018-12-31T23:00:00,0,Base
H2_storage,frac_state_loss,,0.01,Base
H2_storage,has_state,,TRUE,Base
H2_storage,node_state_cap,,7,Base
H2_storage,node_state_cap,,0.5,Inv-storage-compress
H2_storage,storage_investment_cost,,24229,Inv-storage-compress
H2_storage,storage_investment_variable_type,,variable_type_integer,Inv-storage-compress
Heat_out,nodal_balance_sense,,>=,Base
O_out,nodal_balance_sense,,>=,Base
Steam_out,nodal_balance_sense,,>=,Base
